Date,dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
2017-01-26,87.51953100000173,162.5292960000006,101.62109399999827,84.79882799999905,146.20117200000095
2017-01-27,58.050780999998096,87.51953100000173,162.5292960000006,101.62109399999827,84.79882799999905
2017-01-30,43.33007799999905,58.050780999998096,87.51953100000173,162.5292960000006,101.62109399999827
2017-01-31,158.22851599999922,43.33007799999905,58.050780999998096,87.51953100000173,162.5292960000006
2017-02-01,133.40039099999922,158.22851599999922,43.33007799999905,58.050780999998096,87.51953100000173
2017-02-02,121.74023499999748,133.40039099999922,158.22851599999922,43.33007799999905,58.050780999998096
2017-02-03,91.66015600000173,121.74023499999748,133.40039099999922,158.22851599999922,43.33007799999905
2017-02-06,117.2695309999981,91.66015600000173,121.74023499999748,133.40039099999922,158.22851599999922
2017-02-07,92.13867199999731,117.2695309999981,91.66015600000173,121.74023499999748,133.40039099999922
2017-02-08,86.66992100000061,92.13867199999731,117.2695309999981,91.66015600000173,121.74023499999748
2017-02-09,52.949219000001904,86.66992100000061,92.13867199999731,117.2695309999981,91.66015600000173
2017-02-10,144.62890600000173,52.949219000001904,86.66992100000061,92.13867199999731,117.2695309999981
2017-02-13,93.45117200000095,144.62890600000173,52.949219000001904,86.66992100000061,92.13867199999731
2017-02-14,118.53125,93.45117200000095,144.62890600000173,52.949219000001904,86.66992100000061
