,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3391,2017-06-21,1,0.45300925922222224,1.0,0.0,2.0,0.0,9.0,70.78906300000017,92.91015600000172,76.41015600000173,105.41015600000172,97.88085900000078
3392,2017-06-22,0,0.17343975463636366,0.8,-0.39285714299999996,1.0,2.0,11.0,102.61914099999922,70.78906300000017,92.91015600000172,76.41015600000173,105.41015600000172
3393,2017-06-23,0,0.21836219333333332,0.625,-0.25,0.0,2.0,6.0,61.6601559999981,102.61914099999922,70.78906300000017,92.91015600000172,76.41015600000173
3394,2017-06-26,0,0.16616898146666667,1.0,-0.6125,0.0,0.0,15.0,87.89843800000017,61.6601559999981,102.61914099999922,70.78906300000017,92.91015600000172
3395,2017-06-27,0,0.05841827875000001,0.452380952,-0.491145833,0.0,2.0,8.0,124.96093800000016,87.89843800000017,61.6601559999981,102.61914099999922,70.78906300000017
3396,2017-06-28,1,0.007597402571428584,0.8,-0.625,0.0,0.0,7.0,129.93945299999905,124.96093800000016,87.89843800000017,61.6601559999981,102.61914099999922
3397,2017-06-29,-1,0.0994545454,0.7,-0.475,1.0,0.0,10.0,106.390625,129.93945299999905,124.96093800000016,87.89843800000017,61.6601559999981
3398,2017-06-30,1,0.0711079545,0.7,-0.425,1.0,1.0,8.0,290.30078100000173,106.390625,129.93945299999905,124.96093800000016,87.89843800000017
3399,2017-07-03,0,0.07712364026923078,0.65,-1.0,5.0,2.0,26.0,101.03906300000016,290.30078100000173,106.390625,129.93945299999905,124.96093800000016
3400,2017-07-05,0,-0.06428571428571428,0.3,-1.0,3.0,0.0,7.0,171.03906199999986,101.03906300000016,290.30078100000173,106.390625,129.93945299999905
3401,2017-07-06,0,0.1,0.8,-0.5,0.0,0.0,4.0,100.59960900000078,171.03906199999986,101.03906300000016,290.30078100000173,106.390625
3402,2017-07-07,1,0.3993055555000001,0.9,0.0,0.0,0.0,6.0,127.71875,100.59960900000078,171.03906199999986,101.03906300000016,290.30078100000173
3403,2017-07-10,-1,0.2885995370555556,1.0,-0.390625,4.0,4.0,18.0,75.09961000000112,127.71875,100.59960900000078,171.03906199999986,101.03906300000016
3404,2017-07-11,0,-0.113604798,0.412121212,-0.625,0.0,0.0,6.0,75.28125,75.09961000000112,127.71875,100.59960900000078,171.03906199999986
3405,2017-07-12,0,0.1541408401818182,1.0,-0.36458333299999995,7.0,0.0,11.0,162.31835999999745,75.28125,75.09961000000112,127.71875,100.59960900000078
3406,2017-07-13,-1,0.11656250000000001,0.8,-0.5,0.0,0.0,5.0,112.859375,162.31835999999745,75.28125,75.09961000000112,127.71875
3407,2017-07-14,0,0.31779401150000003,0.925,-0.45833333299999995,0.0,0.0,10.0,56.36132799999905,112.859375,162.31835999999745,75.28125,75.09961000000112
3408,2017-07-17,0,0.2576368801818182,1.0,-0.5,10.0,0.0,22.0,159.8085940000019,56.36132799999905,112.859375,162.31835999999745,75.28125
3409,2017-07-18,0,0.06633838400000001,0.297348485,-0.133333333,0.0,0.0,3.0,44.15039099999922,159.8085940000019,56.36132799999905,112.859375,162.31835999999745
3410,2017-07-19,0,-0.0528935186,0.25,-0.597619048,0.0,0.0,5.0,118.79882799999905,44.15039099999922,159.8085940000019,56.36132799999905,112.859375
3411,2017-07-20,0,0.428125,0.8,0.0,0.0,0.0,4.0,74.91015600000173,118.79882799999905,44.15039099999922,159.8085940000019,56.36132799999905
3412,2017-07-21,0,0.21225649350000003,0.6785714290000001,0.0,1.0,0.0,4.0,84.94921800000157,74.91015600000173,118.79882799999905,44.15039099999922,159.8085940000019
3413,2017-07-24,0,0.08746878119230768,0.8,-0.8,2.0,2.0,26.0,88.83007799999905,84.94921800000157,74.91015600000173,118.79882799999905,44.15039099999922
3414,2017-07-25,0,0.03182565794736842,0.825,-0.5125,2.0,1.0,19.0,81.64843800000017,88.83007799999905,84.94921800000157,74.91015600000173,118.79882799999905
3415,2017-07-26,0,0.18868055549999999,0.9,-0.016666667,2.0,2.0,10.0,93.25,81.64843800000017,88.83007799999905,84.94921800000157,74.91015600000173
3416,2017-07-27,0,0.154731692,0.716666667,-0.1,1.0,3.0,8.0,59.4101559999981,93.25,81.64843800000017,88.83007799999905,84.94921800000157
3417,2017-07-28,1,0.2468434343636364,1.0,-0.4625,0.0,3.0,11.0,110.62109399999828,59.4101559999981,93.25,81.64843800000017,88.83007799999905
3418,2017-07-31,0,0.1795375523809524,0.583333333,-0.6125,9.0,8.0,21.0,85.06054700000095,110.62109399999828,59.4101559999981,93.25,81.64843800000017
3419,2017-08-01,0,0.1,0.1,0.1,1.0,0.0,1.0,68.08984300000158,85.06054700000095,110.62109399999828,59.4101559999981,93.25
3420,2017-08-02,0,0.07266666660000001,0.4,-0.11666666699999999,2.0,0.0,5.0,50.15039099999922,68.08984300000158,85.06054700000095,110.62109399999828,59.4101559999981
3421,2017-08-03,0,0.21749999999999997,0.6,-0.26,3.0,0.0,8.0,68.63867100000061,50.15039099999922,68.08984300000158,85.06054700000095,110.62109399999828
3422,2017-08-04,0,0.35027020200000003,0.533333333,0.214545455,1.0,2.0,5.0,53.52929600000061,68.63867100000061,50.15039099999922,68.08984300000158,85.06054700000095
3423,2017-08-07,0,0.23251984130000003,1.0,-0.625,7.0,3.0,20.0,68.16992200000095,53.52929600000061,68.63867100000061,50.15039099999922,68.08984300000158
3424,2017-08-08,0,-0.020117298454545452,0.25,-0.4,0.0,2.0,11.0,39.17968800000017,68.16992200000095,53.52929600000061,68.63867100000061,50.15039099999922
3425,2017-08-09,1,0.17250000000000001,0.4375,-0.25,1.0,1.0,3.0,121.82031199999984,39.17968800000017,68.16992200000095,53.52929600000061,68.63867100000061
3426,2017-08-10,0,0.17916666666666667,0.2875,0.0,0.0,1.0,3.0,60.5,121.82031199999984,39.17968800000017,68.16992200000095,53.52929600000061
3427,2017-08-11,1,0.175,0.5,-0.125,1.0,1.0,5.0,144.25976599999922,60.5,121.82031199999984,39.17968800000017,68.16992200000095
3428,2017-08-14,-1,0.07816524618750001,1.0,-0.6875,5.0,1.0,16.0,68.34960999999747,144.25976599999922,60.5,121.82031199999984,39.17968800000017
3429,2017-08-15,-1,0.2921107331428571,0.625,-0.26666666699999997,3.0,1.0,7.0,73.58984399999827,68.34960999999747,144.25976599999922,60.5,121.82031199999984
3430,2017-08-16,0,0.09583333325000001,0.7125,-0.4375,1.0,0.0,4.0,67.43945300000269,73.58984399999827,68.34960999999747,144.25976599999922,60.5
3431,2017-08-17,0,0.21671392486666669,1.0,-0.5,0.0,5.0,15.0,83.24023500000112,67.43945300000269,73.58984399999827,68.34960999999747,144.25976599999922
3432,2017-08-18,1,0.04888599537500001,0.4166666670000001,-0.21666666699999998,1.0,1.0,8.0,234.4199210000006,83.24023500000112,67.43945300000269,73.58984399999827,68.34960999999747
3433,2017-08-21,-1,0.19863758213333335,1.0,-0.8125,1.0,2.0,15.0,151.71875,234.4199210000006,83.24023500000112,67.43945300000269,73.58984399999827
